team,pass_yds_2010,pass_yds_2011,pass_yds_2012,pass_yds_2013,pass_yds_2014,pass_yds_2015,pass_yds_2016
Florida State,209.9,257,265.3,315.9,303.3,255.8,264.1
Maryland,214.7,210.3,181.8,248.5,220.2,174.3,178.2
North Carolina State,281.2,240,310.1,240.8,204,210.8,260.5
Boston College,171.2,167.8,258.9,154.8,129.3,110.9,143.8
Clemson,195.6,282.3,321.6,333.1,261.8,291.9,333.9
Wake Forest,143.8,253.2,200.8,196.6,176.3,228.3,165.7
Virginia Tech,203.6,226.1,230.9,236.2,217.4,225.8,261.9
Miami (FL),238.8,232.1,295.4,265.5,249.9,277.1,274.2
North Carolina,264,254.4,291.8,277.4,278,262.2,293.2
Georgia Tech,83.9,142.3,129.9,130.4,134.4,121.3,129.2
Virginia,265.5,237.7,268,211.8,236.4,238.3,239.3
Duke,271.3,272.2,283.9,248.1,216.5,246.4,239.8
Missouri,253.2,231.5,217.9,252.9,189.1,165.5,295.4
Nebraska,150.6,162.7,207.4,196.7,212.1,266.9,211.7
Kansas State,179.3,151.5,207.4,224.7,287.4,176,157
Iowa State,174.3,212.3,214.1,219.2,248.4,226.3,258.8
Colorado,222.7,237.6,192.5,253.7,284.1,239.3,254.5
Kansas,161.8,167.4,148.7,140.4,202.9,218.6,240.4
Oklahoma,343.4,349.4,336.5,199.1,203.5,308.2,318
Oklahoma State,345.8,387.2,331.7,277.2,242.2,353.2,323.9
Texas A&M,276.8,291.1,316.5,353.3,305.5,258.5,255.2
Baylor,280.7,351.5,340.5,359.1,365.9,289.5,280.9
Texas Tech,318.9,345.4,355.9,392.8,351.1,388.2,463
Texas,232,189.9,263.2,212.5,199.9,145.9,252
Connecticut,151.1,194.7,230.4,234.2,169.3,185.5,202.7
Pitt,201.2,209.8,257,247.5,185.9,190.6,221.7
West Virginia,213,346.8,330.2,262.1,317,251.5,257.2
Syracuse,182.7,227.8,289,182,184.1,156.9,321.3
South Florida,164.5,249.6,215.5,166.8,196.8,194.3,226.2
Louisville,194,211.5,296.1,314,252,245.1,290.5
Cincinnati,260.7,207.2,238.8,303.6,303.6,359.9,255.9
Rutgers,194,241.2,208.5,235.6,227.4,207.1,138.3
Ohio State,228.5,127,181.5,203.3,247.1,188.8,213.9
Michigan State,236.4,252.5,209.9,211.7,265.6,234.2,222.3
Wisconsin,199.5,234.3,156.9,197.1,148.7,228.3,179.1
Iowa,234.5,234.8,187.4,197.1,237,204.4,153.2
Illinois,151,184,168.8,287.7,249.8,243.4,174.6
Penn State,229.7,177,273.6,259.2,233.4,214.5,260.7
Michigan,250.2,182.8,199.3,247.8,170.2,237.7,212
Northwestern,235.2,254.2,169.1,227.2,216.5,138.5,245.1
Purdue,150.8,195.2,238.5,215.8,187.4,237.3,294.9
Minnesota,226.1,150.3,169.5,148.1,141.8,214.8,173.6
Indiana,287.2,199.4,311.2,306.7,141.4,293.8,273.8
UCF,186.4,238,225.6,281.6,235.3,187.5,209.7
Southern Mississippi,252.5,256.2,168.3,242.6,269.3,329.7,298.2
East Carolina,318.7,286.1,273.2,328.1,371.9,280.8,334.7
Marshall,217.1,213.3,365.1,294.4,287.3,231.7,241.8
Memphis,193.4,190.3,166.6,171.7,236.6,307.6,304.4
Tulsa,288.7,248.7,211.4,191.4,264.7,333.2,265.3
SMU,275.8,274.8,235.3,341.4,168.7,218,264
Houston,327.3,450.1,328.4,280.5,230.2,248.3,296.3
UTEP,223.3,225.6,224,163.3,142.9,195.1,183.7
Rice,215.9,196.8,225.6,178.2,231.5,224.3,215.2
Tulane,245.8,214,279.9,184.5,201.3,201.3,113.3
Navy,120,85.8,104.8,85.9,81.4,98.5,128.1
Notre Dame,253.1,252.6,222.8,254.8,285.5,258.5,254.3
Army,78.1,50.4,66.4,77.6,62.3,94,74.4
Miami (OH),253.7,299.1,298.7,124.3,277.8,211,230.6
Ohio,162.3,249,241.5,245.4,206.2,232.8,224.4
Temple,183.8,126.8,120.8,249.7,200.7,216.9,237.4
Kent State,200.8,145.4,162.5,186.5,233.6,138.1,141.7
Bowling Green State,231.6,261.6,212.1,266.1,259.9,366.8,226.1
Buffalo,184.3,210.2,199.3,227.3,259.1,249.5,200.5
Akron,155.1,163.3,312.8,219.4,249.3,192.9,255.3
Northern Illinois,189.6,241.9,231.4,222.6,192.1,208.4,224
Toledo,198,267.7,252,206.8,234.2,253,322.8
Western Michigan,285.8,337.3,289.8,211,267.3,287.1,252.4
Ball State,153.6,241,254,324.2,215.8,218.3,229.2
Central Michigan,284,274.2,244.2,208.3,242.8,300.8,276.1
Eastern Michigan,160.1,126.7,171.6,178.1,151.8,219.3,296.1
Texas Christian,229.5,231.6,236.5,226.3,326.2,347.4,268.2
Utah,236.1,173.2,190.7,236.3,197.7,179.8,216.7
Air Force,119.3,140.1,102.6,104.9,145.6,131.9,134.8
San Diego State,295.4,242.9,175.9,258.3,178.4,142,144.5
Brigham Young,198.4,245.4,247.2,232.1,278.7,296.5,197.9
Colorado State,221.8,184.6,210.2,266.4,321.6,228,244.5
Wyoming,166,206.8,265.4,282.4,227.3,186.3,229.1
New Mexico,157.7,183,68.8,113.8,88.3,134.4,106.8
Oregon,244.5,223.6,222.2,291.5,312.5,258.3,265.3
Stanford,258.7,278.7,200.1,197.9,229.8,211.8,158.2
USC,242.2,294.2,282.3,227.1,296.6,269.7,276.4
Washington,190.4,255.5,212.8,260.4,200.1,239.2,258.8
Arizona,307.7,370.8,298.4,193.5,281.8,272,178.1
Arizona State,286.4,316.7,259.2,265.9,273.5,298.5,259.3
Oregon State,206.9,286.8,307.1,372.6,275.4,159.1,173.8
California,175.1,246.6,208.3,331.4,345.3,375.9,358.8
UCLA,141.1,198.3,275.7,251.5,258.3,288.9,295.6
Washington State,239.2,322.3,330.4,368,477.7,389.2,362.5
South Carolina,238.4,181.5,238.1,253.8,282.4,207.5,213.2
Florida,184.3,185.7,146.3,170.9,179.9,206.9,215.8
Georgia,242.4,244.5,285.1,303.7,199.9,185.1,193.5
Tennessee,254.5,242.6,315.6,164.9,224.2,198.6,238.5
Kentucky,269.3,135.6,176.3,193.4,231.2,209.3,186.1
Vanderbilt,159.4,174.6,213.4,227.5,179.1,171.8,191.2
Auburn,214.4,155.5,156.6,173,229.5,173.6,169.5
LSU,155.6,152.5,200.5,251,162.9,180.4,190.1
Arkansas,333.7,300.7,301.5,148.5,188,268.2,264.2
Alabama,261.2,215.2,218,248.5,277.9,227.1,210.3
Mississippi State,186.5,181.8,237.8,244.5,280.7,316.4,209.7
Ole Miss,192.3,151.7,249.9,283.3,263.6,334.7,314.9
Troy,296.8,291.3,331.5,322.3,198.4,240.6,260.5
Florida International,207.5,214.9,238.4,142.8,168,237.8,226.7
Middle Tennessee State,191.2,254.3,216.1,208.2,217.5,310.8,325.8
Louisiana-Monroe,226.7,237.6,290.7,237.5,279.9,207.9,192
Arkansas State,254.3,293.6,260.5,202.1,260.1,207.2,242.2
Florida Atlantic,208.3,143.1,237.6,197.9,199.5,212.6,210.1
Louisiana-Lafayette,250,269.5,261.8,212.2,191.5,208.5,178.2
North Texas,173.1,189.3,219.1,229.8,172.8,161.4,208.3
Western Kentucky,143.5,167.3,205.2,261.5,374.3,372.2,336.8
Boise State,321.1,309.4,223.2,277.7,280.4,309.9,298.3
Nevada,226.9,259.2,243.8,247.3,192.2,164.5,208.2
Hawaii,394.3,308.8,188.8,301.4,214.6,192.4,227.5
Fresno State,220,272.6,325.6,394.9,223.7,178.3,213.1
Louisiana Tech,218.9,248.4,350.8,206,252.2,322.6,363.4
Idaho,298.6,188.3,225.8,230.8,271.9,281.3,249.2
Utah State,178.7,174.6,265,233.4,198.7,205.2,206.2
New Mexico State,167.4,273.1,237.8,240.9,238.3,252.3,244.9
San Jose State,236.5,276.8,332.7,355.9,253.2,221.7,222.1
